Chamber_Pressure_bar,O/F,T_chamber_K,T_exit_Frozen_K,T_exit_Shift_K,M_exit_Frozen,M_exit_Shift,Velocity_exit_Frozen_m_s,Velocity_exit_Shift_m_s,Isp_Frozen_s,Isp_Equilibrium_s,X_H2O,X_H2,X_OH,X_O2,X_H
50,7.3,3626.829609881991,1842.526729653781,2587.2773187530524,14.94970136458853,16.314093173402075,3393.086948257072,3575.4246515396035,345.9985773181537,364.59184854558936,0.8599254024116496,0.09792608937894771,0.02283340404195712,0.006174097890602092,0.011412510908945066
50,7.4,3628.449811874468,1844.2703834080187,2595.5280659479486,15.07134981675051,16.45939483603169,3380.460262236865,3562.7242835197594,344.71101367305505,363.2967714275272,0.8635563261512713,0.09026311576173013,0.02492214596525532,0.00789460603611334,0.011333636457485573
50,7.5,3629.628480021722,1845.689210715024,2601.9158606256046,15.191349855411673,16.600075768605244,3367.930454756862,3549.972722826854,343.43332888976994,361.99647410959443,0.8664507568076947,0.08323177165473705,0.026908167496696517,0.009898330281321968,0.011170245993484809
50,7.6,3630.391362275602,1846.8013620631584,2606.5999678633116,15.309729948589844,16.73631968355064,3355.5017689704164,3537.1937167016663,342.16595564952524,360.6933781364346,0.8686597378482381,0.07680590718060064,0.028762786880936843,0.012182361311093274,0.010936288628288165
50,7.7,3630.7631439311144,1847.6243215519362,2609.7524660908375,15.426519101623668,16.868358874114122,3343.177997660321,3524.409679082772,340.9092807085316,359.389769093704,0.870241892715799,0.07094916286666769,0.030466253900151705,0.014736628782119017,0.010645971504166168
50,7.8,3630.767430805853,1848.1748829344913,2611.5464810642866,15.541746692261071,16.996452086120442,3330.9624993804805,3511.6412226728285,339.66364654397586,358.08774889211185,0.871258821311116,0.06561906870110568,0.03200708575474405,0.01754574046601939,0.010312713172889485
50,7.9,3630.4267426934944,1848.469133853444,2612.147583510931,15.655442318153897,17.120866169251954,3318.858216733534,3498.9068915315665,338.42935321781994,356.7892084994944,0.8717715005872152,0.060770566769395996,0.033380746131672696,0.020590850490655947,0.009948504032171731
50,8.0,3629.7625156531853,1848.522447338834,2611.7084298765153,15.767635657884181,17.241862662943447,3306.867696109213,3486.2230582274133,337.2066603895533,355.4958174531989,0.8718378225134589,0.05635868085989783,0.034588091086504145,0.023851289401638748,0.0095636158923641
50,8.1,3628.7951121801016,1848.3494799087441,2610.3661065564256,15.878356346359688,17.35968912223253,3294.9931084867167,3473.603948182984,335.99578943744467,354.20902634263325,0.8715111483464407,0.05234032111014274,0.03563387285601474,0.027305838272601277,0.009166562447107491
50,8.2,3627.543838144474,1847.9641754095112,2608.241430634941,15.987633863972357,17.474574308452173,3283.236270944672,3461.061749118786,334.7969256519476,352.9300779694173,0.8708396465512354,0.0486753570308312,0.03652545607333084,0.03093363731413518,0.008764213659442093
50,8.3,3626.0269657337203,1847.3797740127811,2605.439502833578,16.09549743963283,17.58672619134433,3271.5986686403303,3448.606769965269,333.61022047695496,351.66002355190295,0.8698661706072639,0.04532714073524298,0.037271798600889874,0.034714777906226624,0.008361987776943608
50,8.4,3624.2617614316187,1846.6088254823242,2602.050959391812,16.201975965359853,17.696331811451554,3260.0814770959546,3436.2476239501134,332.43579378237774,350.3997413948814,0.8686284717006111,0.04226265336437531,0.037882688258120537,0.038630647722313165,0.00796406934538866
50,8.5,3622.264515361741,1845.6632051658034,2598.153534726758,16.30709793112491,17.803558269183632,3248.6855825792377,3423.9914152757797,331.2737359423695,349.1499559253955,0.8671595955040433,0.03945241403436612,0.038368197946091954,0.04266409727836185,0.007573622385160481
50,8.6,3620.0505796962516,1844.5541349027458,2593.8136987893135,16.4108913531372,17.908554293839423,3237.4116062333983,3411.843924769157,330.1241102959113,347.91125662373565,0.8654883575496347,0.036870254544725825,0.038738314737084716,0.046799485622693426,0.007192983363920748
50,8.7,3617.634402640825,1843.2922041122295,2589.0882173362584,16.513383734657804,18.011452079206435,3226.2599229523553,3399.809777675645,328.98695507154383,346.6841151336741,0.8636398375269475,0.034493027364952564,0.03900269883465741,0.05102264854976165,0.00682382722515131
50,8.8,3615.0295657230286,1841.8873924119428,2584.025574702434,16.614602022208306,18.11236914561114,3215.2306813857394,3387.892598728996,327.862285427311,345.4689010751884,0.8616358519501075,0.03230029255427781,0.03917053759380305,0.055320821303030884,0.006467306237365897
